From,To
Q8BWN8,Q8N9L9
Q32Q92,Q3I5F7
Q91V12,O00154
P58137,O14734
Q32MW3,Q9Y305
Q9R0X4,Q9Y305
Q9R0H0,Q15067
Q9QXD1,Q99424
Q9EPL9,O15254
Q9DBS4,Q9NUZ1
Q9D358,P24666
P24638,P11117
Q8CE08,P15309
D3YTS9,Q9BZG2
Q05117,P13686
Q8BP40,Q9NPH0
Q8BX37,Q6ZNF0
P23578,P10323
Q3V140,Q8NEB7
P50289,P26436
Q99PU5,Q96GR2
Q2XU92,Q5FVE4
Q8VCW8,Q96CM8
Q3URE1,Q4G176
P41216,P33121
Q9CZW4,O95573
Q9QUJ7,O60488
Q8JZR0,Q9ULC5
Q91WC3,Q9UKU0
Q91VA0,Q08AH1
Q8K0L3,Q08AH3
Q8K0L3,Q68CK6
Q3UNX5,Q53FZ2
Q80W40,P0C7M7
Q8BGA8,Q6NUN0
Q99NB1,Q9NUB1
Q9QXG4,Q9NR19
Q14DH7,Q9H6R3
P68134,P68133
P62737,P62736
P60710,P60709
Q8BFZ3,Q562R1
P68033,P68032
D3YYH9,
P63260,P63261
P63268,P63267
A2AKE7,Q5JWF8
Q9D5V1,
Q9Z2N8,O96019
Q99MR0,O94805
Q9QY84,Q9Y615
Q9QY83,Q9Y614
Q8CG27,Q8TC94
J3QPC3,
Q7TPR4,P12814
Q9JI91,P35609
O88990,Q08043
P57780,O43707
Q9QZB7,Q9NZ32
P61164,P61163
Q8R5C5,P42025
P61161,P61160
Q99JY9,P61158
Q641P0,Q9P1U1
Q80US4,Q9H9F9
Q9D864,Q9GZN1
Q8R2S9,Q9H981
Q9D9J3,Q8TDG2
Q9D9L5,Q8TDY3
Q8BXF8,Q9BYD9
P37172,Q04771
Q61271,P36896
Q8K348,Q8NER5
P27038,P27037
P27040,Q13705
Q61288,P37023
Q99JW2,Q03154
Q91XE4,Q96HD9
P56376,P07311
P56375,P14621
P03958,P00813
Q5SUE7,Q96M93
Q9D5P4,Q8NCV1
Q80SY6,Q6DHV7
O35598,O14672
Q9R1V4,O75078
Q61824,O43184
O88839,Q13444
Q9Z0F8,P78536
Q9R157,Q9Y3Q7
O35674,Q9H013
Q60813,
Q8R534,
Q60718,Q99965
Q7M763,O43506
Q9R159,O43506
Q7M762,O43506
Q9JI76,Q9UKJ8
Q9R1V6,Q9P0K1
Q9R1V7,Q9UKQ2
Q9R160,
Q9JLN6,Q9UKQ2
Q811Q4,Q9UKF5
Q811Q3,Q9UKF2
Q8K410,Q8TC27
Q923W9,Q9BZ11
F8VQ03,
Q3TTE0,Q6NVV9
B2RSY5,
O35227,Q9H2U9
Q05910,P78325
Q61072,Q13443
Q9R0X2,O15204
P97857,Q9UHI8
P58459,Q9H324
Q811B3,P58397
Q769J6,Q76LX8
E9PX39,Q8WXS8
P59384,Q8TE58
Q69Z28,Q8TE57
E9Q4D1,Q8TE56
Q4VC17,Q8TE60
P59509,Q8TE59
Q8C9W3,O95450
P59511,P59510
E9Q287,O15072
Q8BNJ2,O75173
Q9R001,Q9UNA0
D3Z1A5,Q9UKP5
Q68SA9,Q9UKP4
P57110,Q9UP79
E9PUN6,Q9P2N4
Q8BLI0,Q8N6G6
Q7TSK7,Q86TH1
G3UXC7,P82987
Q80T21,Q6UY14
D3Z689,Q6ZMM2
E9PY16,O75689
Q8R2V5,Q9NPF8
Q99MU3,P55265
Q91ZS8,P78563
Q9JI20,Q9NS39
Q9JHI2,Q9BUB4
Q6P6J0,Q7Z6V5
Q6PAT0,Q96EY9
Q9D0L4,Q86TW2
Q6NSR3,Q7Z695
Q80V03,Q3MIX3
O88444,Q08828
Q8C0T9,Q96PN6
Q80TL1,Q08462
Q8VHH7,O60266
Q91WF3,Q8NFM4
P84309,O95622
Q01341,O43306
P51829,P51828
P97490,P40145
P51830,O60503
O70176,P18509
P70205,P41586
Q9QYC0,P35611
Q9QYB8,P35612
Q9QYB5,Q9UEY8
G3UZ78,Q8N7X0
Q8C4G9,Q86SQ6
Q91ZV8,Q96PE1
Q7TT36,Q8IWK6
Q3UHD1,O14514
Q8CGM1,O60241
Q80ZF8,O60242
Q80T32,Q6QNK2
Q61549,Q14246
Q9Z0M6,Q9UHX3
Q91ZE5,Q86SQ3
Q9Z0M6,P48960
Q8VEC3,Q5T601
E9Q4J9,Q8IZF7
Q58Y75,Q8IZF5
Q9D2L6,Q8IZF3
G5E8Q8,Q8IZF2
Q8K209,Q9Y653
Q8CJ12,Q8IZP9
Q8R0T6,Q86Y34
B7ZCC9,Q8IZF6
Q3V3Z3,Q8IZF4
Q6F3F9,Q86SQ4
Q8BM96,Q96K78
Q80TR1,O94910
Q8JZZ7,O95490
Q80TS3,Q9HAR2
Q923X1,Q9HBW9
Q8VHN7,Q8WXG9
P00329,P07327
P00329,P00325
P00329,P00326
Q9QYY9,P08319
P28474,P11766
A0A1D5RMB0,P28332
Q64437,P40394
Q8R0N6,Q8IWW8
Q99JT9,Q9BV57
Q8R400,Q0VDE8
Q60994,Q15848
Q91VH1,Q96A54
Q8BQS5,Q86V24
Q9D1K7,
P55264,P55263
P97297,P35318
Q7TNK8,Q7Z4H4
Q9Z103,Q9H2P0
Q8CHC8,Q6IQ32
Q6PDY2,Q96SZ5
Q60612,P30542
Q60613,P29274
Q60614,P29275
Q61618,P0DMS8
Q8VDL4,Q9BRR6
P54923,P54922
Q8BGK2,Q8NDY3
Q99KS6,Q3LIE5
Q8CG72,Q9NX46
P97718,P35348
P97717,P35368
P97714,P25100
Q01338,P08913
P30545,P18089
Q01337,P18825
P34971,P08588
P18762,P07550
P25962,P13945
Q9JKV1,Q16186
A0A0A6YVU8,Q16186
P54822,P30566
P28650,Q8N142
P46664,P30520
Q8C138,Q96IZ2
Q640N1,Q8IUX7
Q9Z248,Q6ZN18
Q9CZI9,Q8WTP8
Q80YS6,Q8N556
Q8BZI0,Q8TED9
Q5DTU0,Q8N4X5
Q9QZQ1,P55196
O88573,P51825
O55112,P51816
P51827,P51826
Q9ESC8,Q9UHB7
Q3V384,Q8WV93
Q920A7,
Q8JZQ2,Q9Y4W6
O89020,P43652
Q8K4H1,Q63HM1
P02772,P02771
Q80WT5,Q6ULP2
Q64191,P20933
Q8BXK8,Q9UPQ3
Q8BXK8,Q8TF27
Q3UHD9,Q99490
Q8VHH5,Q96P47
Q8BXK8,A6NIR3
Q8BXK8,Q5VUJ5
Q8BXK8,Q5VTM2
Q09M05,Q96MI9
Q8CDK2,Q5U5Z8
Q8CDP0,Q8NEM8
Q09LZ8,Q5VU57
Q09M02,Q8NDL9
Q62151,Q15109
Q8K2K6,P52594
Q80WC7,O95081
Q7TN31,Q8N302
Q9ESW4,Q53H12
F8VPN4,P35573
A2AS89,Q9BSE5
Q8BS35,Q6ZNB7
Q8CJG1,Q9UL18
Q8CJG0,Q9UKV8
Q8CJF9,Q9H9G7
Q8CJF8,Q9HCK5
O35083,Q99943
Q8K3K7,O15120
Q9D517,Q9NRZ7
Q8K4X7,Q9NRZ5
Q9D1E8,Q9NUQ2
Q8C0I1,O00116
O88312,O95994
Q8R3W7,Q8TD06
A2ASQ1,O00468
P56473,O00253
P11859,P01019
Q641K1,Q9UPW5
P29754,P30556
P29755,P30556
P35374,P50052
Q9WVK0,Q6RW13
O35423,P21549
Q3UEG6,Q9BYV1
Q8CJF7,Q8WYP5
P50247,P23526
,P23526
Q80SW1,O43865
Q68FL4,Q96HN2
Q6PAL7,Q5TGY3
Q8K3E5,Q8N157
E9Q616,Q09666
A0A7N9VR94,Q8IVF2
P30561,P35869
Q3U1U7,A9YTQ3
Q8BK64,O95433
Q8N9S3,Q719I0
P29699,P02765
Q9CY02,Q9NZD4
Q9WVE0,Q9GZX7
Q8C4Q6,Q96BJ3
O70200,P55008
Q9EQX4,Q9BQI0
Q9Z0X1,O95831
Q8BUE4,Q9BRQ8
Q3TY86,Q96NN9
Q9D8B1,Q9NVV5
Q91VJ1,O14862
P31230,Q12904
Q8R010,Q13155
O08915,Q9NWT8
Q924K1,Q9NZN9
Q9Z0E3,O43918
Q78TB4,
A2ALI5,Q9UKB5
A2AJA9,C9J069
Q91XC0,Q96IF1
Q9R0Y5,P00568
Q9WTP6,P54819
Q9WTP7,Q9UIJ7
Q9WUR9,A0A8I5KW96
Q920P5,Q9Y6K8
Q8VCP8,Q9Y3D8
Q9D2H2,Q96M32
Q32M07,Q96MA6
G3UYQ4,Q5TCS8
G3UWD5,P0CW23
O08715,Q92667
O88845,O43572
E9Q777,Q9UKA4
Q9WTQ5,Q02952
E9Q394,Q12802
Q3V0I7,Q86UN6
A2A3V1,Q02040
A2A3V1,
O88987,O75969
Q60662,Q5JQC9
D3YVF0,P24588
E9Q9K8,Q13023
Q7TN79,Q9P0M2
Q9DBR0,O43823
Q9R0L7,Q9ULX6
Q70FJ1,Q99996
Q9JJR5,Q9NQ31
Q99LF1,Q9H9L7
B1AXD8,Q53H80
Q80VW7,Q7Z591
E9Q8N6,Q5T1N1
Q9JII6,P14550
P45376,P15121
G5E895,O60218
P21300,O60218
P45377,O60218
G5E895,C9JRZ8
P21300,C9JRZ8
P45377,C9JRZ8
Q9JLI0,Q04828
Q8VC28,Q04828
Q91WT7,Q04828
Q8K023,Q04828
G3X9Y6,Q04828
Q8VC77,Q04828
Q91WR5,Q04828
P70694,Q04828
Q3UXL1,Q04828
Q9JLI0,P52895
Q8VC28,P52895
Q91WT7,P52895
Q8K023,P52895
G3X9Y6,P52895
Q8VC77,P52895
Q91WR5,P52895
P70694,P52895
Q3UXL1,P52895
Q9JLI0,P42330
Q8VC28,P42330
Q91WT7,P42330
Q8K023,P42330
G3X9Y6,P42330
Q8VC77,P42330
Q91WR5,P42330
P70694,P42330
Q3UXL1,P42330
Q9JLI0,P17516
Q8VC28,P17516
Q91WT7,P17516
Q8K023,P17516
G3X9Y6,P17516
Q8VC77,P17516
Q91WR5,P17516
P70694,P17516
Q3UXL1,P17516
Q8VCX1,P51857
Q9DCT1,Q96JD6
Q8CG76,O43488
Q8CG76,O95154
Q8CG76,Q8NHP1
P31750,P31749
Q9D1F4,Q96B36
Q60823,P31751
Q9WUA6,Q9Y243
Q64362,Q9H8T0
P10518,P13716
Q8VC19,P13196
P08680,P22557
P07724,Q8TES7
Q61490,Q13740
Q571I9,Q8IZ83
Q9Z110,P54886
P24549,P00352
O35945,P00352
Q62148,O94788
Q9JHW9,P47895
Q9CZS1,P30837
Q8R0Y6,O75891
Q8K009,Q3SY69
P47738,P05091
P47739,P30838
P47740,P51648
Q80VQ0,P43353
E9Q3E1,P48448
J3QMK6,P48448
Q8CHT0,P30038
Q8BWF0,P51649
Q9EQ20,Q02252
Q9DBF1,P49419
Q8BH00,Q9H2A2
Q9JLJ2,P49189
P05064,P04075
Q91Y97,P05062
P05063,P09972
Q921Q3,Q9BT22
Q3UGP8,Q5BKT4
Q3UGP8,Q5I7T1
Q3TZM9,Q2TAA5
Q8VDB2,Q9BV10
Q9D8C3,Q9NP73
Q9D081,Q96F25
Q921Q3,
Q921Q3,C9J202
Q9DBE8,Q9H553
Q8K2A8,Q92685
Q9DB25,Q9Y673
Q3TAE8,Q9Y672
Q6P8H8,Q9BVK2
Q8VDI9,Q9H6U8
P97793,Q9UM73
J3QPP8,Q6UXT8
Q80UG6,Q6UX46
P0CB42,Q13686
Q6P6J4,Q6NS38
Q8K1E6,Q96Q83
Q9D8F1,Q9NXW9
Q3TSG4,Q6P6C2
Q8K2U2,Q3KRA9
Q9D6Z0,Q9BT30
Q80Y20,Q96BT7
Q9JHX6,Q8N6M5
Q8K4E0,Q8TCU4
P39655,P18054
O70582,O75342
P39654,P16050
O35936,O15296
P48999,P09917
P30355,P20292
Q9WV07,Q9BYJ1
P24822,P10696
F8VPQ6,P10696
P24823,P10696
P24822,P09923
F8VPQ6,P09923
P24823,P09923
Q9CXB8,Q96QP1
Q91ZB0,Q86TB3
Q924C5,Q96L96
P09242,P05186
P24822,P05187
F8VPQ6,P05187
P24823,P05187
Q920R0,Q96Q42
Q60I26,Q60I27
Q8C8B0,Q15699
O70137,O95076
O35137,Q9H161
A0A087WNP0,Q86V81
O08583,Q86V81
Q9JJW6,Q86V81
E9Q4G9,Q86V81
K9J7E2,Q86V81
E9PX25,Q86V81
E9PZY4,Q86V81
E9PZY4,Q86V81
E9PZY4,Q86V81
K9J7E2,Q86V81
L7N2C4,Q86V81
A0A3B2W7J0,Q86V81
O09174,Q9UHK6
O55189,Q9NP70
Q07456,P02760
A2AH22,Q9C0C7
P0DMN7,P17707
D3Z6H8,P17707
Q9DBA8,Q96NU7
Q8JZV7,Q9Y303
P63277,Q99217
P63277,Q99218
Q7TS75,Q5JTC6
Q8CCJ4,Q8N7J2
Q6NS69,Q8N944
Q9R049,Q9UKV5
P27106,P03971
Q8K592,Q16671
Q80ZD8,Q86WK6
Q80ZD9,Q86SJ2
Q8C2S7,Q86WK7
Q9JHT5,Q9Y4X0
Q8JZZ6,Q6DCA0
Q99JB7,Q9BXJ7
B8JKV0,Q8IY45
Q8VHG2,Q4VCS5
Q9D4H4,Q8IY63
Q8K371,Q9Y2J4
Q3V1D3,P23109
Q9DBT5,Q01433
O08739,Q01432
Q7TQF7,P49418
Q8CFA2,P48728
Q9D3J8,Q6UX39
P00687,P0DUB6
E9PV85,P0DUB6
,P0DUB6
,P0DUB6
,P0DUB6
P00688,P0DUB6
P00687,P0DTE7
E9PV85,P0DTE7
,P0DTE7
,P0DTE7
,P0DTE7
P00688,P0DTE7
P00687,P0DTE8
E9PV85,P0DTE8
,P0DTE8
,P0DTE8
,P0DTE8
P00688,P0DTE8
P00687,P04746
E9PV85,P04746
,P04746
,P04746
,P04746
P00688,P04746
P00687,P19961
E9PV85,P19961
,P19961
,P19961
,P19961
P00688,P19961
Q8BVF9,Q400G9
Q400C8,Q86W34
P53995,Q9H1A4
Q8K2H6,Q9UM13
Q9CPX9,Q9NYG5
Q8R034,Q9BS18
P60007,P60006
A0A140T8L6,P60006
Q9CPV2,Q96DE5
Q8BZQ7,Q9UJX6
Q91W96,Q9UJX5
Q8BTZ4,Q9UJX4
Q9WVM3,Q9UJX3
P21570,P03950
Q64438,P03950
P97802,P03950
Q3TMQ6,P03950
Q5GAN1,P03950
Q5GAN0,P03950
Q8VCU0,Q9UNK9
Q8K1C0,Q5VTE6
O08538,Q15389
O35608,O15123
Q9WVH6,Q9Y264
Q640P2,O95841
Q9R045,Q9UKU9
Q9R182,Q9Y5C1
Q9Z1P8,Q9BY76
Q8R0Z6,Q8NI99
Q8R1Q3,O43827
Q8R1L8,Q6UXH0
Q02357,P16157
Q8C8R3,Q01484
G5E8K5,Q12955
A2RT91,Q7Z5J8
F8VQ39,Q495B1
Q14DN9,A6NHY2
Q9D2J7,Q9NU02
A0A571BF63,Q8N957
Q810B6,Q9P2R3
Q9JHZ2,Q9HCJ1
E9PUR0,Q8IWZ3
E9PUR0,H7C0V5
Q6ZPS6,Q9P2G1
Q8BZ25,Q8NFD2
A8VU90,Q8NAG6
Q6P1H6,Q86XL3
Q8C0W1,Q9P2S6
Q3TPE9,Q8IV38
Q99PE2,Q9H9E1
Q9CR42,Q15327
Q99LW0,Q9NXR5
E9Q4F7,Q6UB99
G5E893,Q6UB98
Q80UP5,Q8IZ07
Q5F259,Q86YJ7
Q3UX43,Q8N6S4
Q6PD24,Q6ZTN6
A2AS55,Q6P6B7
Q99NH0,O75179
Q9WV06,Q9GZV1
Q9D3J5,Q5VYY1
Q812A3,Q86SG2
Q80VM7,Q8TF21
Q811D2,Q9UPS8
Q3UMR0,Q96NW4
Q505D1,O15084
D3YVV3,Q8N6D5
A0A140LI88,Q8N7Z5
Q8BXP5,Q7Z3H0
Q3U0L2,A6NCL7
B2RW11,Q69YU3
Q3UUF8,A5PLL1
Q8BLB8,P0C6C1
E9Q9D8,Q8N283
Q569N2,Q7Z713
Q9D2X0,Q53RE8
Q5SUE8,Q6AI12
A0A286YDN8,Q53H64
Q3V096,Q8N9B4
B2RXR6,Q8N8A2
Q810N6,Q5TZF3
Q8BTZ5,Q86W74
Q8VE42,Q8WVL7
A6H6J9,Q9ULJ7
Q8BTI7,Q8NB46
Q3V0J4,Q8N9V6
Q91WK7,Q6NXT1
Q8BLD6,Q3KP44
Q69ZU8,Q9Y2G4
A2AMD2,Q9BZ19
Q9CQM6,A6NGH8
A2ARS0,C9JTQ0
F6YK91,E5RJM6
J3QNN4,B4E2M5
Q9D504,Q92527
Q8BH83,Q96BM1
P59672,Q92625
Q8BIZ1,Q7Z6G8
Q9CZK6,Q6ZW76
Q8K3X6,Q8N8V4
Q6GQX6,Q68DC2
Q3UUE9,A6NFN9
Q80UU1,Q9H8Y5
Q8K298,Q9NQW6
Q8BHY3,Q5XXA6
Q8BH79,Q9NW15
Q8CFW1,Q9NQ90
A2AHL1,Q9BYT9
Q8C5H1,Q32M45
Q75UR0,Q75V66
Q6P9J9,Q4KMQ2
Q14AT5,Q6IWH7
Q6PB70,Q9HCE9
P86044,A1A5B4
O35381,P39687
Q9EST5,Q92688
O35381,O43423
Q64G17,O95626
P97822,Q9BTT0
P97449,P15144
Q501J2,Q9BQD7
Q9CZ52,Q9H6X2
Q6DFX2,P58335
Q8BVM2,A6NF34
P10107,P04083
Q9QZ10,Q9UJ72
P97384,P50995
Q99JG3,P27216
P07356,P07355
P07356,A6NMY6
Q3T9V6,Q3ZCQ2
Q3T9V6,Q3ZCQ2
O35639,P12429
P97429,P09525
P48036,P08758
P14824,P08133
Q07076,P20073
O35640,P13928
O35640,Q5VT79
Q9JHQ0,O76027
O35298,P28039
Q8JZQ5,P19801
Q6IMK7,P19801
E9Q745,P19801
Q6WIZ7,P19801
Q812C9,O75106
O70423,Q16853
Q8BXQ6,Q8N6M6
O54754,Q06278
Q5SGK3,
G3X982,
E9PYF7,Q63HQ0
O35643,Q10567
P22892,O43747
O88512,O75843
P35585,Q9BXS5
Q9WVP1,Q9Y6Q5
P61967,P61966
Q9DB50,P56377
Q7TN05,Q96PC3
P17426,O95782
P17427,O94973
Q9DBG3,P63010
P84091,Q96CW1
P62743,P53680
Q9Z1T1,O00203
Q9JME5,Q13367
O54774,O14617
Q9JKC8,Q9Y2T2
Q8R2R9,P53677
Q9DCR2,Q92572
Q8BSZ2,P59780
Q9WV76,Q9Y6B7
Q80V94,Q9UPM8
Q9JKC7,O00189
Q9WVL1,Q9Y587
Q3TAP4,Q2VPB7
Q8BJ63,Q9H0R1
Q9D742,Q9NUS5
Q3U829,O43299
O88879,O14727
B2RUJ5,Q02410
P98084,Q99767
O88888,O96018
Q9QXJ1,O00213
Q8R5A3,Q7Z5R6
Q9DBR4,Q92870
Q8R1C9,O95704
Q61315,P25054
Q9Z1K7,Q9UJX6
Q3U128,Q8J025
P12246,P02743
Q8R146,P13798
P0DMC4,P0DMC3
P28352,P27695
Q68G58,Q9UBZ4
Q8BVF7,Q96BI3
Q8C7N7,Q8WW43
Q9DCZ9,Q8WW43
O35841,Q9BZZ5
Q9WVQ5,Q96GX9
Q9D842,Q8IW19
Q9R0R4,Q9ULZ1
Q9WV08,P35414
Q03157,P51693
Q06335,Q06481
Q9D7N9,Q9HDC9
Q00623,P02647
P09813,P02652
P06728,P06727
Q8C7G5,Q6Q788
E9Q414,P04114
P51908,P41238
Q9WV35,Q9Y235
Q99J72,Q9UH17
Q99J72,Q9NRW3
Q99J72,Q96AK3
Q99J72,Q8IUX4
Q99J72,Q9HC16
Q497M3,Q8WW27
Q8VBT6,Q0VD83
P34928,P02654
Q05020,P02655
,P02655
P33622,P02656
Q61268,P55056
P51910,P05090
P08226,P02649
Q91V80,Q13790
Q01339,P02749
Q8CCA5,O14791
G3X9K7,O14791
E9PZG0,O14791
E9PUZ0,O14791
B2RT54,O14791
B1AQP7,O14791
Q8C6E1,O14791
Q3UZ24,O14791
A2VDH7,O14791
Q8VDU3,O14791
Q8C7I4,O14791
Q8CCA5,Q9BQE5
G3X9K7,Q9BQE5
E9PZG0,Q9BQE5
E9PUZ0,Q9BQE5
B2RT54,Q9BQE5
B1AQP7,Q9BQE5
Q8C6E1,Q9BQE5
Q3UZ24,Q9BQE5
A2VDH7,Q9BQE5
Q8VDU3,Q9BQE5
Q8C7I4,Q9BQE5
Q8CCA5,O95236
G3X9K7,O95236
E9PZG0,O95236
E9PUZ0,O95236
B2RT54,O95236
B1AQP7,O95236
Q8C6E1,O95236
Q3UZ24,O95236
A2VDH7,O95236
Q8VDU3,O95236
Q8C7I4,O95236
Q8CCA5,Q9BPW4
G3X9K7,Q9BPW4
E9PZG0,Q9BPW4
E9PUZ0,Q9BPW4
B2RT54,Q9BPW4
B1AQP7,Q9BPW4
Q8C6E1,Q9BPW4
Q3UZ24,Q9BPW4
A2VDH7,Q9BPW4
Q8VDU3,Q9BPW4
Q8C7I4,Q9BPW4
B7ZC55,Q9BWW8
E9Q0X2,Q96LR9
Q9Z1R3,O95445
G3X9D6,
Q9DCZ4,Q9BUR5
Q78IK4,Q6UXV4
P12023,P05067
Q9DAX9,Q92624
Q8K3H0,Q9UKG1
Q8K3G9,Q8NEU8
P08030,P07741
Q7TQC5,Q7Z2E3
Q02013,P29972
Q8BHH1,Q8NBQ7
Q8CHJ2,Q8IXF9
Q8CHJ2,A6NM10
P56402,P41181
Q8R2N1,Q92482
P55088,P55087
Q9WTY4,P55064
Q8C4A0,Q13520
O54794,O14520
O54794,A6NL99
P56404,O94778
Q9JJJ3,O43315
Q8CFQ3,O60306
P19091,P10275
P04627,P10398
Q4LDD4,Q96P48
Q8BZ05,Q8WZ64
Q8R5G7,Q8WWN8
Q9WV31,Q7LC44
Q5XJY5,P48444
P31955,P15514
Q8CHG5,O15033
P84078,P84077
Q8BSL7,
P61205,P61204
P61750,P18085
P84084,P84085
P62331,P62330
Q9EPJ9,Q9NP61
Q99K28,Q8N6H7
Q9D8S3,Q9NP61
G3X9K3,Q9Y6D6
A2A5R2,Q9Y6D5
Q3UGY8,Q5TH69
G5E8V9,P53367
Q8K221,P53365
Q8BXL7,Q13795
Q61176,P05089
O08691,P78540
Q3UL36,Q9NWB6
Q5FWK3,Q07960
Q6Y5D8,Q5T5U3
Q80Y19,Q6P4F7
Q80Y19,Q3KRB8
Q8C0D4,Q8IWW6
Q811M1,Q53QZ3
Q3UIA2,Q68EM7
Q8K0Q5,Q8N392
Q8BRH3,Q14CB8
Q6IFT4,Q9P2F6
Q6DFV3,Q5T5U3
Q8BL80,Q7Z5H3
Q69ZH9,Q9P227
Q8C4V1,Q8N264
Q8BYW1,P42331
Q6ZQ82,Q9UNA1
A2AB59,Q6ZUM4
Q8BN58,Q9P2N2
Q8CGF1,Q52LW3
Q640N3,Q7Z6I6
A6X8Z5,Q2M1Z3
Q811P8,A7KAX9
Q80YF9,O14559
Q91YM2,Q9NRY4
B1AUC7,Q6ZRI8
P59281,Q9C0H5
B1AUY3,P98171
E9Q6X9,Q5TG30
B2RQE8,A6NI28
Q5SSM3,Q17R89
Q3TBD2,Q92619
P97393,Q13017
O54834,O43182
Q9CXP4,P85298
Q1HDU4,Q9BRR9
